encoder,dataset,model,milan_n_pairs_total,milan_n_pairs_correct,milan_pairwise_acc,milan_order_match,ajo_n_samples,ajo_n_correct,ajo_perfect_order_rate,status
crossencoder,ajo_doc_not_tier1,all-MiniLM-L6-v2,30,15,0.500000,False,30,12,0.400000,ok
crossencoder,ajo_doc_not_tier1,e5-large-v2,30,15,0.500000,False,30,7,0.233333,ok
crossencoder,ajo_doc_not_tier1,bge-base-en-v1.5,30,14,0.466667,False,30,15,0.500000,ok
crossencoder,ajo_doc_not_tier1,bge-large-en-v1.5,30,15,0.500000,True,30,30,1.000000,ok
crossencoder,ajo_newstyle,deberta-v3-large,30,15,0.500000,False,30,11,0.366667,ok
crossencoder,ajo_newstyle,all-mpnet-base-v2,30,10,0.333333,False,30,15,0.500000,ok
crossencoder,ajo_newstyle,all-MiniLM-L6-v2,30,13,0.433333,False,30,7,0.233333,ok
crossencoder,ajo_newstyle,e5-large-v2,30,15,0.500000,True,30,30,1.000000,ok
crossencoder,ajo_newstyle,bge-base-en-v1.5,30,17,0.566667,False,30,8,0.266667,ok
crossencoder,ajo_newstyle,bge-large-en-v1.5,30,15,0.500000,True,30,30,1.000000,ok
crossencoder,new_aep_wf_scrap,deberta-v3-large,30,15,0.500000,False,30,15,0.500000,ok
crossencoder,new_aep_wf_scrap,all-mpnet-base-v2,30,17,0.566667,False,30,7,0.233333,ok
crossencoder,new_aep_wf_scrap,all-MiniLM-L6-v2,30,17,0.566667,False,30,10,0.333333,ok
crossencoder,new_aep_wf_scrap,e5-large-v2,30,15,0.500000,True,30,30,1.000000,ok
crossencoder,new_aep_wf_scrap,bge-base-en-v1.5,30,27,0.900000,True,30,8,0.266667,ok
crossencoder,new_aep_wf_scrap,bge-large-en-v1.5,30,15,0.500000,False,30,17,0.566667,ok
crossencoder,new_ajo_workflows,deberta-v3-large,30,15,0.500000,False,30,3,0.100000,ok
crossencoder,new_ajo_workflows,all-mpnet-base-v2,30,20,0.666667,False,30,7,0.233333,ok
crossencoder,new_ajo_workflows,all-MiniLM-L6-v2,30,16,0.533333,False,30,13,0.433333,ok
crossencoder,new_ajo_workflows,e5-large-v2,30,15,0.500000,True,30,29,0.966667,ok
crossencoder,new_ajo_workflows,bge-base-en-v1.5,30,13,0.433333,False,30,10,0.333333,ok
crossencoder,new_ajo_workflows,bge-large-en-v1.5,30,15,0.500000,False,30,2,0.066667,ok
